year,week,publication_date,NOMBRE,variety,quality,size,sale_format,unit,price
2021,1,2021-01-08,aguacate Hass,aguacate_hass,,,,kg,1903
2021,1,2021-01-08,apio verde,apio_verde,,,,kg,1000
2021,1,2021-01-08,ayote sazón,ayote_sazon,,,,kg,425
2021,1,2021-01-08,ayote tierno,ayote_tierno,,,,u,517
2021,1,2021-01-08,banano criollo,banano_criollo,,,,u,38
2021,1,2021-01-08,brócoli,brocoli,,,,kg,2569
2021,1,2021-01-08,camote,camote,,,,kg,683
2021,1,2021-01-08,cebolla blanca,cebolla_blanca,1,,suelta,kg,2070
2021,1,2021-01-08,cebolla blanca,cebolla_blanca,2,,suelta,kg,1368
2021,1,2021-01-08,cebolla blanca,cebolla_blanca,,,trenza,kg,2050
2021,1,2021-01-08,coliflor,coliflor,,,,u,750
2021,1,2021-01-08,coco,coco,,,,u,425
2021,1,2021-01-08,culantro castilla,culantro_castilla,,,,rollo,90
2021,1,2021-01-08,chayote sazón blanco,chayote_sazon_blanco,,,,u,394
2021,1,2021-01-08,chayote tierno criollo,chayote_tierno_criollo,,,,u,219
2021,1,2021-01-08,chayote tierno quelite,chayote_tierno_quelite,,,,u,79
2021,1,2021-01-08,chile dulce,chile_dulce,1,,,u,270
2021,1,2021-01-08,chile dulce,chile_dulce,2,,,u,143
2021,1,2021-01-08,elote,elote,,,,u,127
2021,1,2021-01-08,fresa,fresa,,,,kg,3433
2021,1,2021-01-08,frijol tierno,frijol_tierno,,,,kg,1200
2021,1,2021-01-08,huevos,huevos,,,,kg,1267
2021,1,2021-01-08,lechuga americana,lechuga_americana,,,,u,217
2021,1,2021-01-08,limón mesino,limon_mesino,,,,u,190
2021,1,2021-01-08,limón mandarino,limon_mandarino,,,,u,67
2021,1,2021-01-08,manga,manga,,,,kg,1232
2021,1,2021-01-08,maracuyá,maracuya,,,,kg,900
2021,1,2021-01-08,mora,mora,,,,kg,1700
2021,1,2021-01-08,naranja,naranja,,,,u,85
2021,1,2021-01-08,ñampí,nampi,,,,kg,750
2021,1,2021-01-08,papa amarilla,papa_amarilla,,,,kg,1248
2021,1,2021-01-08,papa blanca,papa_blanca,1,,,kg,1039
